Lat	Long	City, State	Ads
40.712784	-74.005941	New York City, NY	1417377
34.052234	-118.243685	Los Angeles, CA	660655
41.878114	-87.629798	Chicago, IL	660585
33.748995	-84.387982	Atlanta, GA	591634
29.760427	-95.369803	Houston, TX	536509
33.448377	-112.074037	Phoenix, AZ	524792
38.907192	-77.036871	Washington, DC	510591
32.715738	-117.161084	San Diego, CA	481097
36.169941	-115.139830	Las Vegas, NV	447225
42.360082	-71.058880	Boston, MA	443409
25.761680	-80.191790	Miami, FL	404240
39.739236	-104.990251	Denver, CO	401248
37.338208	-121.886329	San Jose, CA	393783
42.331427	-83.045754	Detroit, MI	376200
39.952584	-75.165222	Philadelphia, PA	370052
37.774929	-122.419416	San Francisco, CA	342899
39.290385	-76.612189	Baltimore, MD	339233
32.776664	-96.796988	Dallas, TX	338858
28.538335	-81.379236	Orlando, FL	330711
38.581572	-121.494400	Sacramento, CA	323656
27.950575	-82.457178	Tampa, FL	311185
47.606209	-122.332071	Seattle, WA	300661
35.779590	-78.638179	Raleigh, NC	251279
45.523062	-122.676482	Portland, OR	240490
30.267153	-97.743061	Austin, TX	237365
29.424122	-98.493628	San Antonio, TX	235653
26.122439	-80.137317	Fort Lauderdale, FL	227702
35.149534	-90.048980	Memphis, TN	215032
39.099727	-94.578567	Kansas City, MO	195814
41.499320	-81.694361	Cleveland, OH	195449
30.332184	-81.655651	Jacksonville, FL	193921
26.715342	-80.053375	West Palm Beach, FL	191132
39.768403	-86.158068	Indianapolis, IN	182410
29.951066	-90.071532	New Orleans, LA	178618
33.953349	-117.396156	Riverside, CA	173092
43.038902	-87.906474	Milwaukee, WI	171679
41.763711	-72.685093	Hartford, CT	167283
39.961176	-82.998794	Columbus, OH	160026
36.162664	-86.781602	Nashville, TN	155055
35.467560	-97.516428	Oklahoma City, OK	154889
40.760779	-111.891047	Salt Lake City, UT	151139
40.440625	-79.995886	Pittsburgh, PA	148755
